number,bookName,author,press,BookID,price,PreferentialPrice
 54 ,区块链项目开发指南,纳拉扬·普鲁斯蒂,机械工业出版社,12284210,59.00,46.60
 68 ,编程珠玑（第2版 修订版）,乔恩·本特利,人民邮电出版社,11642529,39.00,30.80
 82 ,数据结构与算法分析：Java语言描述（原书第3版） ,马克·艾伦·维斯,机械工业出版社,11886254,69.00,54.50
 69 ,R语言实战 第2版 ,卡巴科弗,人民邮电出版社,11939734,99.00,69.80
 83 ,量化投资：以Python为工具,蔡立耑,电子工业出版社,12028953,99.00,74.30
 55 ,算法竞赛入门经典（第2版）,刘汝佳,清华大学出版社,11469701,49.80,35.60
 70 ,谁说菜鸟不会数据分析（入门篇）（纪念版）（全彩） ,张文霖,电子工业出版社,11944656,59.00,46.60
 84 ,TensorFlow机器学习项目实战,Rodolfo,人民邮电出版社,12235801,49.00,38.70
 56 ,区块链核心算法解析,Roger,电子工业出版社,12221044,59.00,46.60
 71 ,大数据架构详解：从数据获取到深度学习 ,朱洁,电子工业出版社,12052744,69.00,54.50
 85 ,Python机器学习实践指南,Alexander,人民邮电出版社,12180152,69.00,54.50
 72 ,大数据之路 阿里巴巴大数据实践 ,阿里巴巴数据技术及产品部,电子工业出版社,12105759,79.00,62.40
 86 ,HTML5+CSS3+JavaScript从入门到精通（标准版）,未来科技,中国水利水电出版社,12123529,89.80,67.40
 57 ,Kubernetes权威指南：从Docker到Kubernetes实践全接触（纪 ...,闫健勇,电子工业出版社,12230380,119.00,94.00
 73 ,和秋叶一起学PPT 第3版,秋叶,人民邮电出版社,12122883,99.00,68.30
 87 ,Spring Cloud与Docker微服务架构实战,周立,电子工业出版社,12168358,69.00,54.50
 58 ,SQL必知必会 第4版 ,Ben Forta,人民邮电出版社,11232698,29.00,22.90
 74 ,ES6标准入门（第3版） ,阮一峰,电子工业出版社,12172449,99.00,78.20
 88 ,小程序，巧应用:微信小程序开发实战 第2版,熊普江 谢宇华,机械工业出版社,12147285,69.00,54.50
 59 ,疯狂Java讲义（第3版 附光盘）,李刚,电子工业出版社,11514816,109.00,76.90
 75 ,数据结构与算法分析：C语言描述（原书第2版） ,MarkAllenWeiss,机械工业出版社,10057441,35.00,27.00
 89 ,Adobe Photoshop CC 2017经典教程 彩色版,安德鲁,人民邮电出版社,12181615,99.00,78.20
 60 ,数据结构 Python语言描述,Kenneth,人民邮电出版社,12273412,69.00,54.50
 76 ,深入分析Java Web技术内幕（修订版）,许令波,电子工业出版社,11520670,79.00,62.40
 90 ,Linux就该这么学,刘遄,人民邮电出版社,12269260,79.00,62.40
 77 ,硅谷之谜：浪潮之巅 续集,吴军,人民邮电出版社,11807307,59.00,40.60
 91 ,别告诉我你懂PPT：全新升级版,李治,湖南文艺出版社,11807158,42.00,28.90
 78 ,分布式服务架构：原理、设计与实战,李艳鹏,电子工业出版社,12222782,89.00,70.30
 92 ,JavaEE开发的颠覆者：Spring Boot实战 ,汪云飞,电子工业出版社,11894632,89.00,70.30
 79 ,深入分布式缓存：从原理到实践,于君泽,机械工业出版社,12276070,99.00,78.20
 93 ,京东系统质量保障技术实战,商城研发POP平台,电子工业出版社,12194007,69.00,54.50
 80 ,你不知道的JavaScript 下卷,凯尔·辛普森,人民邮电出版社,12291874,79.00,62.40
 94 ,CSS世界,张鑫旭,人民邮电出版社,12262251,69.00,53.80
 95 ,大话数据结构,程杰,清华大学出版社,10663703,59.00,46.60
 96 ,华章专业开发者丛书·Java并发编程实战 ,Brian Goetz,机械工业出版社,10922250,69.00,54.50
 97 ,深入浅出Node.js ,朴灵,人民邮电出版社,11355978,69.00,54.50
 98 ,Python编程（第4版 套装上下册）,Mark Lutz,中国电力出版社,11598704,198.00,148.50
 99 ,重构 改善既有代码的设计 ,马丁·福勒,人民邮电出版社,11728740,69.00,54.50
 100 ,Python数据分析与挖掘实战,张良均,机械工业出版社,11821937,69.00,54.50
